beteckning,punkt,titel,S,M,SD,V,C,KD,MP,L
SoU16,2,Prioriteringar inom hälso- och sjukvården,Avstår,Ja,Avstår,Nej,Ja,Ja,Nej,Ja
SoU16,3,Prioriteringar inom hälso- och sjukvården,Ja,Ja,Avstår,Ja,Ja,Ja,Nej,Ja
SoU16,5,Prioriteringar inom hälso- och sjukvården,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja
SoU16,6,Prioriteringar inom hälso- och sjukvården,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
SoU17,2,Socialtjänstens arbete,Avstår,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
SoU17,3,Socialtjänstens arbete,Avstår,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
SoU17,6,Socialtjänstens arbete,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
SoU17,8,Socialtjänstens arbete,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
SoU17,12,Socialtjänstens arbete,Avstår,Ja,Ja,Avstår,Avstår,Ja,Nej,Ja
SoU18,4,Barn och unga inom socialtjänsten,Nej,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
SoU18,6,Barn och unga inom socialtjänsten,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
SoU18,13,Barn och unga inom socialtjänsten,Avstår,Ja,Ja,Ja,Ja,Ja,Nej,Ja
SoU18,14,Barn och unga inom socialtjänsten,Avstår,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
SoU19,5,Socialtjänstens ansvar för våldsutsatta m.m.,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
SoU19,7,Socialtjänstens ansvar för våldsutsatta m.m.,Ja,Ja,Nej,Avstår,Ja,Ja,Avstår,Ja
SoU2,1,,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja
SoU2,2,,Ja,Ja,Ja,Avstår,Avstår,Ja,Nej,Ja
SoU20,1,Äldreomsorg,Nej,Ja,Ja,Ja,Nej,Ja,Nej,Ja
SoU20,3,Äldreomsorg,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
SoU20,4,Äldreomsorg,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
SoU20,13,Äldreomsorg,Nej,Ja,Ja,Ja,Nej,Ja,Nej,Ja
SoU21,3,"Kompetensförsörjning, e-hälsa och beredskap",Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
SoU21,4,"Kompetensförsörjning, e-hälsa och beredskap",Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
SoU21,6,"Kompetensförsörjning, e-hälsa och beredskap",Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
SoU21,9,"Kompetensförsörjning, e-hälsa och beredskap",Ja,Ja,Ja,Avstår,Nej,Ja,Nej,Ja
SoU21,12,"Kompetensförsörjning, e-hälsa och beredskap",Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
SoU22,1,Förbättrade möjligheter att ändra kön,Ja,Ja,Nej,Ja,Ja,Nej,Ja,Ja
SoU24,1,Ett utvidgat utreseförbud för barn,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
SoU24,4,Ett utvidgat utreseförbud för barn,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
SoU25,1,Begränsningar och kontroll i fråga om elektroniska kommunikationstjänster och besök på särskilda ungdomshem,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
SoU25,3,Begränsningar och kontroll i fråga om elektroniska kommunikationstjänster och besök på särskilda ungdomshem,Nej,Ja,Ja,Ja,Nej,Ja,Nej,Ja
SoU25,13,Begränsningar och kontroll i fråga om elektroniska kommunikationstjänster och besök på särskilda ungdomshem,Ja,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
SoU26,1,Det schabloniserade föräldraavdraget,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
SoU3,2,,Nej,Ja,Ja,Avstår,Ja,Ja,Avstår,Ja
SoU3,3,,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
SoU5,1,,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja
SoU5,2,,Ja,Ja,Ja,Nej,Avstår,Ja,Nej,Ja
SoU6,2,,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
SoU6,5,,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
SoU6,10,,Nej,Ja,Ja,Ja,Nej,Ja,Nej,Ja
SoU6,18,,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
SoU6,24,,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
SoU7,1,Riksrevisionens rapport om det nationella smittskyddet,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
SoU8,1,Riksrevisionens rapport om statens arbete med väntetider i vården,Nej,Ja,Ja,Avstår,Ja,Ja,Avstår,Ja
SoU8,2,Riksrevisionens rapport om statens arbete med väntetider i vården,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
SoU8,3,Riksrevisionens rapport om statens arbete med väntetider i vården,Ja,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
SoU9,4,Genomförande av nya krav på upphettade tobaksvaror,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
SoU9,6,Genomförande av nya krav på upphettade tobaksvaror,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
