beteckning,punkt,titel,S,M,SD,V,C,KD,MP,L
AU10,1,Riksrevisionens rapport om kontrollen av subventionerade anställningar,Nej,Ja,Avstår,Avstår,Ja,Ja,Avstår,Ja
AU3,1,,Ja,Ja,Nej,Ja,Avstår,Ja,Ja,Ja
AU3,3,,Avstår,Ja,Ja,Ja,Ja,Ja,Nej,Ja
AU3,4,,Avstår,Ja,Ja,Avstår,Nej,Ja,Avstår,Ja
AU3,5,,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
AU3,6,,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
AU4,1,Riksrevisionens rapport om Samhalls samhällsuppdrag,Nej,Ja,Ja,Avstår,Avstår,Ja,Ja,Ja
AU4,2,Riksrevisionens rapport om Samhalls samhällsuppdrag,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
AU5,2,,Ja,Ja,Ja,Avstår,Ja,Ja,Nej,Ja
AU5,3,,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
AU5,6,,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
AU5,12,,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
AU5,14,,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
AU5,15,,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
AU6,1,Jämställdhet och åtgärder mot diskriminering,Avstår,Ja,Nej,Ja,Ja,Ja,Avstår,Ja
AU6,2,Jämställdhet och åtgärder mot diskriminering,Avstår,Ja,Avstår,Ja,Nej,Ja,Avstår,Ja
AU6,3,Jämställdhet och åtgärder mot diskriminering,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
AU6,5,Jämställdhet och åtgärder mot diskriminering,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
AU6,8,Jämställdhet och åtgärder mot diskriminering,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
AU7,1,Integration,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
AU7,2,Integration,Nej,Ja,Ja,Ja,Avstår,Ja,Avstår,Ja
AU7,4,Integration,Avstår,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
AU7,5,Integration,Avstår,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
AU7,8,Integration,Nej,Ja,Ja,Ja,Ja,Ja,Avstår,Ja
AU7,9,Integration,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
AU8,1,Arbetsmiljö och arbetstid,Nej,Ja,Ja,Avstår,Nej,Ja,Nej,Ja
AU8,5,Arbetsmiljö och arbetstid,Avstår,Ja,Ja,Ja,Ja,Ja,Nej,Ja
AU8,6,Arbetsmiljö och arbetstid,Avstår,Ja,Nej,Avstår,Ja,Ja,Ja,Ja
AU8,7,Arbetsmiljö och arbetstid,Avstår,Ja,Ja,Avstår,Nej,Ja,Avstår,Ja
AU8,13,Arbetsmiljö och arbetstid,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja
AU8,18,Arbetsmiljö och arbetstid,Avstår,Ja,Avstår,Nej,Ja,Ja,Avstår,Ja
AU9,1,En arbetslöshetsförsäkring baserad på inkomster,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
AU9,2,En arbetslöshetsförsäkring baserad på inkomster,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
AU9,3,En arbetslöshetsförsäkring baserad på inkomster,Nej,Ja,Ja,Avstår,Ja,Ja,Avstår,Ja
AU9,4,En arbetslöshetsförsäkring baserad på inkomster,Ja,Ja,Ja,Avstår,Ja,Ja,Nej,Ja
CU1,1,,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
CU10,2,Ersättningsrätt samt insolvens- och utsökningsrätt,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
CU10,7,Ersättningsrätt samt insolvens- och utsökningsrätt,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
CU11,1,Konsumenträtt m.m.,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
CU13,1,Bostadspolitik,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
CU15,8,Planering och byggande,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
CU16,3,Hushållningen med mark- och vattenområden,Nej,Ja,Ja,Ja,Ja,Ja,Avstår,Ja
CU16,6,Hushållningen med mark- och vattenområden,Ja,Ja,Nej,Ja,Ja,Ja,Avstår,Ja
CU17,1,Hyresrätt m.m.,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
CU17,3,Hyresrätt m.m.,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
CU17,6,Hyresrätt m.m.,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
CU18,1,,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
CU19,2,Information om bränsleförbrukning och koldioxidutsläpp vid marknadsföring av nya personbilar,Ja,Ja,Ja,Ja,Nej,Ja,Nej,Ja
CU2,1,,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
CU20,1,Åtgärder för tryggare bostadsområden,Avstår,Ja,Ja,Nej,Avstår,Ja,Avstår,Ja
CU20,2,Åtgärder för tryggare bostadsområden,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
CU20,3,Åtgärder för tryggare bostadsområden,Nej,Ja,Ja,Nej,Nej,Ja,Avstår,Ja
CU20,4,Åtgärder för tryggare bostadsområden,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
CU23,2,Nya regler om hållbarhetsrapportering,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
CU23,3,Nya regler om hållbarhetsrapportering,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
CU24,1,Riksrevisionens rapport om statens hantering av markintrång,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
CU4,2,,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
CU6,2,,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
CU7,1,,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
CU8,2,,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
CU9,2,Familjerätt,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
CU9,6,Familjerätt,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
CU9,7,Familjerätt,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
CU9,10,Familjerätt,Ja,Ja,Ja,Nej,Avstår,Ja,Ja,Ja
FiU1,1,,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
FiU1,2,,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
FiU11,1,,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
FiU12,2,,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
FiU2,3,,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
FiU20,1,Riktlinjer för den ekonomiska politiken,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
FiU21,2,Vårändringsbudget för 2024,Ja,Ja,Ja,Avstår,Ja,Ja,Nej,Ja
FiU22,3,Finansiell stabilitet och finansmarknadsfrågor,Ja,Ja,Avstår,Ja,Nej,Ja,Ja,Ja
FiU22,5,Finansiell stabilitet och finansmarknadsfrågor,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
FiU22,8,Finansiell stabilitet och finansmarknadsfrågor,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
FiU22,10,Finansiell stabilitet och finansmarknadsfrågor,Avstår,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
FiU25,1,Statlig förvaltning och statistikfrågor,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
FiU25,4,Statlig förvaltning och statistikfrågor,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
FiU25,7,Statlig förvaltning och statistikfrågor,Ja,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
FiU26,1,Kommunala frågor,Nej,Ja,Ja,Nej,Avstår,Ja,Nej,Ja
FiU26,2,Kommunala frågor,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
FiU26,3,Kommunala frågor,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
FiU26,5,Kommunala frågor,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
FiU26,9,Kommunala frågor,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
FiU34,3,Offentlig upphandling,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
FiU34,6,Offentlig upphandling,Avstår,Ja,Ja,Nej,Ja,Ja,Ja,Ja
FiU34,9,Offentlig upphandling,Nej,Ja,Ja,Ja,Avstår,Ja,Ja,Ja
FöU1,3,,Nej,Ja,Avstår,Avstår,Ja,Ja,Ja,Ja
FöU10,2,Sveriges tillträde till vissa Natoavtal,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
FöU12,2,Explosiva varor – ett nationellt tillståndsregister och kriminalisering av förstadier till brott mot tillståndsplikten,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
FöU2,1,,Avstår,Ja,Ja,Ja,Ja,Ja,Nej,Ja
FöU2,2,,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
FöU2,4,,Avstår,Ja,Ja,Ja,Ja,Ja,Nej,Ja
FöU2,6,,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
FöU2,7,,Nej,Ja,Ja,Avstår,Ja,Ja,Ja,Ja
FöU3,1,Personalförsörjning,Avstår,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
FöU3,2,Personalförsörjning,Nej,Ja,Avstår,Ja,Avstår,Ja,Avstår,Ja
FöU3,6,Personalförsörjning,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
FöU4,1,Militära frågor,Avstår,Ja,Ja,Ja,Nej,Ja,Ja,Ja
FöU4,2,Militära frågor,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
FöU4,3,Militära frågor,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
FöU4,4,Militära frågor,Ja,Ja,Avstår,Ja,Avstår,Ja,Nej,Ja
FöU4,6,Militära frågor,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
FöU5,2,Integritetsskydd vid signalspaning i försvarsunderrättelseverksamhet,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
FöU5,3,Integritetsskydd vid signalspaning i försvarsunderrättelseverksamhet,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
FöU6,1,,Avstår,Ja,Ja,Ja,Nej,Ja,Ja,Ja
FöU6,5,,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
FöU6,10,,Avstår,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
FöU7,1,Samhällets krisberedskap,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
FöU7,4,Samhällets krisberedskap,Nej,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
FöU8,2,Finansiering av kommuners medverkan i frågor om slutförvar,Ja,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
FöU8,3,Finansiering av kommuners medverkan i frågor om slutförvar,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja
JuU11,1,,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja
JuU12,1,,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
JuU12,3,,Ja,Ja,Ja,Avstår,Nej,Ja,Ja,Ja
JuU12,5,,Ja,Ja,Ja,Avstår,Ja,Ja,Nej,Ja
JuU12,7,,Nej,Ja,Ja,Avstår,Ja,Ja,Nej,Ja
JuU13,1,Säkerhetszoner,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
JuU13,5,Säkerhetszoner,Nej,Ja,Ja,Avstår,Ja,Ja,Avstår,Ja
JuU13,6,Säkerhetszoner,Avstår,Ja,Ja,Nej,Ja,Ja,Nej,Ja
JuU14,1,,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Ja
JuU14,10,,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
JuU15,1,,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
JuU15,2,,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
JuU16,2,Polisfrågor,Nej,Ja,Ja,Ja,Ja,Ja,Avstår,Ja
JuU16,4,Polisfrågor,Ja,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
JuU16,5,Polisfrågor,Ja,Ja,Avstår,Ja,Ja,Ja,Nej,Ja
JuU16,16,Polisfrågor,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
JuU16,19,Polisfrågor,Avstår,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
JuU17,10,Kriminalvårdsfrågor,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja
JuU17,14,Kriminalvårdsfrågor,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
JuU17,16,Kriminalvårdsfrågor,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
JuU18,3,Våldsbrott och brottsoffer,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
JuU18,24,Våldsbrott och brottsoffer,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
JuU18,26,Våldsbrott och brottsoffer,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
JuU18,31,Våldsbrott och brottsoffer,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
JuU19,4,Unga lagöverträdare,Nej,Ja,Ja,Ja,Avstår,Ja,Ja,Ja
JuU19,7,Unga lagöverträdare,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
JuU2,2,,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
JuU20,2,Straffrättsliga frågor,Avstår,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
JuU20,3,Straffrättsliga frågor,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
JuU21,1,Processrättsliga frågor,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
JuU21,7,Processrättsliga frågor,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
JuU22,1,EU:s färdplan för att bekämpa narkotikahandel och organiserad brottslighet,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
JuU23,1,"Nationell strategi mot våldsbejakande extremism och terrorism – förebygga, förhindra, skydda och hantera",Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
JuU23,2,"Nationell strategi mot våldsbejakande extremism och terrorism – förebygga, förhindra, skydda och hantera",Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
JuU24,1,Preventiva tvångsmedel för att förebygga och förhindra allvarliga brott,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
JuU24,2,Preventiva tvångsmedel för att förebygga och förhindra allvarliga brott,Ja,Ja,Ja,Avstår,Avstår,Ja,Nej,Ja
JuU24,4,Preventiva tvångsmedel för att förebygga och förhindra allvarliga brott,Ja,Ja,Ja,Avstår,Nej,Ja,Avstår,Ja
JuU24,7,Preventiva tvångsmedel för att förebygga och förhindra allvarliga brott,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
JuU26,1,Bättre möjligheter att verkställa frihetsberövanden,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
JuU28,1,Stärkt skydd för vissa polisanställda,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
JuU28,2,Stärkt skydd för vissa polisanställda,Nej,Ja,Ja,Avstår,Ja,Ja,Ja,Ja
JuU29,1,Motståndskraft och handlingskraft – en nationell strategi mot organiserad brottslighet,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja
JuU29,2,Motståndskraft och handlingskraft – en nationell strategi mot organiserad brottslighet,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
JuU29,5,Motståndskraft och handlingskraft – en nationell strategi mot organiserad brottslighet,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja
JuU29,10,Motståndskraft och handlingskraft – en nationell strategi mot organiserad brottslighet,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
JuU30,1,Subsidiaritetsprövning av kommissionens förslag till förordning om stärkt polissamarbete i fråga om människosmuggling och att stärka Europols stöd för att förebygga och motverka sådan brottslighet,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
JuU4,2,,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
JuU4,3,,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
JuU6,1,,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
JuU7,1,,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
JuU8,1,,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
JuU9,1,,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
KU12,6,Valfrågor,Nej,Ja,Avstår,Nej,Ja,Ja,Ja,Ja
KU12,7,Valfrågor,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
KU13,3,Fri- och rättigheter,Ja,Ja,Nej,Ja,Avstår,Ja,Ja,Ja
KU13,5,Fri- och rättigheter,Ja,Ja,Ja,Ja,Nej,Ja,Nej,Ja
KU13,7,Fri- och rättigheter,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
KU14,1,Riksdagens arbetsformer,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
KU14,6,Riksdagens arbetsformer,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
KU15,2,Kommunala och regionala frågor,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
KU16,1,Författningsfrågor,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
KU16,3,Författningsfrågor,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
KU16,4,Författningsfrågor,Avstår,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
KU16,5,Författningsfrågor,Avstår,Ja,Ja,Nej,Ja,Ja,Ja,Ja
KU18,1,Minoritetsfrågor,Ja,Ja,Nej,Avstår,Ja,Ja,Avstår,Ja
KU18,4,Minoritetsfrågor,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
KU18,6,Minoritetsfrågor,Ja,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
KU18,11,Minoritetsfrågor,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
KU2,2,,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
KU2,3,,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
KU2,4,,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
KU22,3,En tydligare bestämmelse om hets mot folkgrupp,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
KU3,1,,Nej,Ja,Ja,Avstår,Ja,Ja,Avstår,Ja
KU3,4,,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
KU3,6,,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
KU7,1,Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
KU8,1,Offentlig förvaltning,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
KU8,3,Offentlig förvaltning,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
KU8,9,Offentlig förvaltning,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
KU9,2,"Tryck- och yttrandefrihet, massmediefrågor",Ja,Ja,Avstår,Ja,Nej,Ja,Ja,Ja
KU9,4,"Tryck- och yttrandefrihet, massmediefrågor",Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja
KU9,6,"Tryck- och yttrandefrihet, massmediefrågor",Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
KrU10,1,Kultur för alla,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
KrU10,3,Kultur för alla,Avstår,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
KrU10,5,Kultur för alla,Avstår,Ja,Nej,Ja,Ja,Ja,Avstår,Ja
KrU10,7,Kultur för alla,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja
KrU11,1,Det kyrkliga kulturarvet,Ja,Ja,Avstår,Nej,Nej,Ja,Nej,Ja
KrU11,2,Det kyrkliga kulturarvet,Nej,Ja,Avstår,Ja,Ja,Ja,Nej,Ja
KrU11,5,Det kyrkliga kulturarvet,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
KrU2,1,,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
KrU2,3,,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
KrU3,4,Public service och film,Nej,Ja,Ja,Avstår,Ja,Ja,Avstår,Ja
KrU4,1,Folkbildning,Ja,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
KrU4,7,Folkbildning,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
KrU5,5,Kulturarv,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
KrU5,7,Kulturarv,Nej,Ja,Avstår,Ja,Ja,Ja,Avstår,Ja
KrU5,8,Kulturarv,Ja,Ja,Avstår,Avstår,Nej,Ja,Avstår,Ja
KrU5,11,Kulturarv,Ja,Ja,Avstår,Avstår,Ja,Ja,Nej,Ja
KrU6,1,Idrott och friluftsliv,Nej,Ja,Ja,Ja,Avstår,Ja,Avstår,Ja
KrU6,2,Idrott och friluftsliv,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
KrU6,3,Idrott och friluftsliv,Ja,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
KrU6,14,Idrott och friluftsliv,Ja,Ja,Ja,Ja,Nej,Ja,Nej,Ja
KrU7,3,Statens stöd till trossamfund och civilsamhället,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
KrU7,5,Statens stöd till trossamfund och civilsamhället,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
KrU7,8,Statens stöd till trossamfund och civilsamhället,Ja,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
KrU7,13,Statens stöd till trossamfund och civilsamhället,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
KrU8,1,Kultur och fritid för barn och unga,Nej,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
KrU8,2,Kultur och fritid för barn och unga,Nej,Ja,Ja,Ja,Avstår,Ja,Avstår,Ja
KrU9,8,Spelfrågor,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
KrU9,10,Spelfrågor,Ja,Ja,Avstår,Nej,Avstår,Ja,Nej,Ja
KrU9,11,Spelfrågor,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
KrU9,13,Spelfrågor,Ja,Ja,Avstår,Ja,Nej,Ja,Avstår,Ja
MJU10,1,Fiskeripolitik,Avstår,Ja,Ja,Ja,Ja,Ja,Nej,Ja
MJU10,2,Fiskeripolitik,Nej,Ja,Ja,Nej,Avstår,Ja,Nej,Ja
MJU10,3,Fiskeripolitik,Avstår,Ja,Nej,Ja,Ja,Ja,Avstår,Ja
MJU10,9,Fiskeripolitik,Nej,Ja,Ja,Ja,Ja,Ja,Avstår,Ja
MJU10,10,Fiskeripolitik,Avstår,Ja,Ja,Ja,Nej,Ja,Ja,Ja
MJU11,1,Djurskydd,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
MJU11,5,Djurskydd,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
MJU11,11,Djurskydd,Nej,Ja,Avstår,Ja,Avstår,Ja,Ja,Ja
MJU12,1,Naturvård,Ja,Ja,Avstår,Ja,Ja,Ja,Nej,Ja
MJU12,2,Naturvård,Ja,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
MJU12,4,Naturvård,Nej,Ja,Ja,Ja,Avstår,Ja,Avstår,Ja
MJU12,18,Naturvård,Ja,Ja,Nej,Avstår,Avstår,Ja,Avstår,Ja
MJU12,19,Naturvård,Avstår,Ja,Avstår,Nej,Ja,Ja,Ja,Ja
MJU13,3,Övergripande miljöfrågor,Nej,Ja,Ja,Ja,Avstår,Ja,Avstår,Ja
MJU13,8,Övergripande miljöfrågor,Avstår,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
MJU13,12,Övergripande miljöfrågor,Ja,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
MJU14,1,Jakt och viltvård,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
MJU14,2,Jakt och viltvård,Nej,Ja,Avstår,Ja,Ja,Ja,Ja,Ja
MJU14,3,Jakt och viltvård,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
MJU14,9,Jakt och viltvård,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
MJU15,6,Regeringens klimathandlingsplan – hela vägen till nettonoll,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
MJU15,7,Regeringens klimathandlingsplan – hela vägen till nettonoll,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
MJU15,34,Regeringens klimathandlingsplan – hela vägen till nettonoll,Avstår,Ja,Ja,Avstår,Nej,Ja,Avstår,Ja
MJU16,1,Jordbrukspolitik,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
MJU16,2,Jordbrukspolitik,Avstår,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
MJU16,3,Jordbrukspolitik,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
MJU16,7,Jordbrukspolitik,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
MJU16,14,Jordbrukspolitik,Ja,Ja,Avstår,Nej,Ja,Ja,Ja,Ja
MJU17,2,Cirkulär och giftfri ekonomi och Riksrevisionens rapport om hantering av uttjänta solcellspaneler och vindturbinblad,Ja,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
MJU17,6,Cirkulär och giftfri ekonomi och Riksrevisionens rapport om hantering av uttjänta solcellspaneler och vindturbinblad,Avstår,Ja,Ja,Ja,Nej,Ja,Ja,Ja
MJU17,16,Cirkulär och giftfri ekonomi och Riksrevisionens rapport om hantering av uttjänta solcellspaneler och vindturbinblad,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
MJU17,18,Cirkulär och giftfri ekonomi och Riksrevisionens rapport om hantering av uttjänta solcellspaneler och vindturbinblad,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
MJU17,26,Cirkulär och giftfri ekonomi och Riksrevisionens rapport om hantering av uttjänta solcellspaneler och vindturbinblad,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
MJU17,28,Cirkulär och giftfri ekonomi och Riksrevisionens rapport om hantering av uttjänta solcellspaneler och vindturbinblad,Nej,Ja,Ja,Avstår,Ja,Ja,Avstår,Ja
MJU18,2,Nationell strategi och regeringens handlingsplan för klimatanpassning,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
MJU18,3,Nationell strategi och regeringens handlingsplan för klimatanpassning,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja
MJU18,8,Nationell strategi och regeringens handlingsplan för klimatanpassning,Ja,Ja,Ja,Ja,Nej,Ja,Avstår,Ja
MJU18,10,Nationell strategi och regeringens handlingsplan för klimatanpassning,Ja,Ja,Ja,Nej,Avstår,Ja,Nej,Ja
MJU5,1,,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
MJU5,2,,Nej,Ja,Ja,Ja,Avstår,Ja,Ja,Ja
MJU5,7,,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
MJU6,3,,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
MJU6,5,,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
